siteName,siteStatus,siteAddress,siteState,siteZip,contactPhone,startDate,endDate,daysofOperation,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime
Blades Elementary School,,Blades,DE,19973,,3/18/2020,,"M,T,W,Th,F",11:30 to 12:30,11:30 to 12:30,,,
Woodbridge Middle School,,Bridgeville,DE,19933,,3/16/2020,,"M,W,F",12:30 to 1:00,12:30 to 1:00,,,
Wawa Store #864,,Bridgeville,DE,19933,,3/23/2020,,"M,W,F",11:15 to 11:45,11:15 to 11:45,,,
Walker Mill,,Bridgeville,DE,19933,,3/16/2020,,"M,W,F",12:30 to 1:00,12:30 to 1:00,,,
Coverdale,,Bridgeville,DE,19933,,3/16/2020,,"M,W,F",1:00 to 1:30,1:00 to 1:30,,,
Rifle Range Rd & Passwaters Drive,,Bridgeville,DE,19958,,3/23/2020,,"M,W,F",12:00 to 12:15,12:00 to 12:15,,,
Just a Hands up Community Navigation,,Bridgeville,DE,19933,,3/16/2020,,"M,W,F",1:00 to 1:30,1:00 to 1:30,,,
Brecknock County Park,,Camden,DE,19934,,3/16/2020,,"M,T,W,Th,F",8:40 to 9:10,11:40 to 12:10,,,
Allen Frear Elementary School,,Camden,DE,19934,,3/16/2020,,"M,T,W,Th,F",9:30 to 10:00,12:30 to 1:00,,,
Cheswold,,Cheswold,DE,19936,,3/18/2020,,"M,T,W,Th,F",10:35 to 10:45,10:35 to 10:45,,,
Baitul Hidayah Masjid,,Claymont,DE,19703,,3/19/2020,,"M,T,W,Th,F",12:00 to 2:00,12:00 to 2:00,,,
Knollwood Civic,,Claymont,DE,19703,,3/17/2020,,"M,W,F",11:00 to 12:30,11:00 to 12:30,,,
Claymont Elementary School,,Claymont,DE,19703,,3/17/2020,,"M,W,F",11:00 to 12:30,11:00 to 12:30,,,
Stoneybrook,,Claymont,DE,19703,,3/17/2020,,"M,W,F",11:00 to 12:30,11:00 to 12:30,,,
Maple Lane,,Claymont,DE,19703,,3/17/2020,,"M,W,F",11:00 to 12:30,11:00 to 12:30,,,
Old Dagsboro Fire Hall,,Dagsboro,DE,19939,,3/18/2020,,"M,W,F",11:30 to 12:00,11:30 to 12:00,,,
Delaware City PAL,,Delaware City,DE,19707,,3/17/2020,,"M,T,W,Th,F",12:00 to 2:00,12:00 to 2:00,,,
Woodmill Apartments,,Dover,DE,19904,,3/18/2020,,"M,T,W,Th,F",10:50 to 11:00,10:50 to 11:00,,,
The Laurels,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",12:15 to 12:25,12:15 to 12:25,,,
The Preserve at Whatcoat Apartments,,Dover,DE,19904,,3/18/2020,,"M,T,W,Th,F",10:00 to 10:10,10:00 to 10:10,,,
Hamlet,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",10:00 to 10:10,10:00 to 10:10,,,
Union Baptist Church,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",10:00 to 10:10,10:00 to 10:10,,,
Towne Point,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",12:30 to 12:40,12:30 to 12:40,,,
Super Lodge,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",1:00 to 1:10,1:00 to 1:10,,,
Manchester Square,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",11:05 to 11:20,11:05 to 11:20,,,
Square Club,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",11:55 to 12:05,11:55 to 12:05,,,
Barristers Place,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",10:15 to 10:25,10:15 to 10:25,,,
Riverchase,,Dover,DE,19901,,3/23/2020,,"M,T,W,Th,F",12:15 to 12:25,12:15 to 12:25,,,
Pinewood Acres,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",10:20 to 10:30,10:20 to 10:30,,,
Downtown-William St & Wood Crest,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",10:30 to 10:45,10:30 to 10:45,,,
Liberty Court Apartments,,Dover,DE,19904,,3/18/2020,,"M,T,W,Th,F",10:20 to 10:30,10:20 to 10:30,,,
Leander Lakes Apart,,Dover,DE,19904,,3/18/2020,,"M,T,W,Th,F",10:00 to 10:10,10:00 to 10:10,,,
King Cliffe,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",12:00 to 12:10,12:00 to 12:10,,,
Kentwood Estates,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",10:00 to 10:10,10:00 to 10:10,,,
Kent Budget Inn,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",1:15 to 1:25,1:15 to 1:25,,,
Islamic Society of Central Dover,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",12:00 to 2:00,12:00 to 2:00,,,
Grocery Baskets,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",10:45 to 10:55,10:45 to 10:55,,,
Fulton Market,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",10:55 to 11:10,10:55 to 11:10,,,
Forest Grove Mobile Homes,,Dover,DE,19953,,3/18/2020,,"M,T,W,Th,F",10:50 to 11:00,10:50 to 11:00,,,
Field Stone,,Dover,DE,19904,,3/18/2020,,"M,T,W,Th,F",11:45 to 11:55,11:45 to 11:55,,,
Dover Inn,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",12:45 to 12:55,12:45 to 12:55,,,
Dover Fire Department,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",11:35 to 11:45,11:35 to 11:45,,,
Dover Country Club Apartments,,Dover,DE,19904,,3/18/2020,,"M,T,W,Th,F",11:10 to 11:20,11:10 to 11:20,,,
Country Village Apartments,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",10:30 to 10:40,10:30 to 10:40,,,
Dover Air Park,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",11:45 to 11:55,11:45 to 11:55,,,
Westwind Meadows,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",11:25 to 11:35,11:25 to 11:35,,,
Capital Park,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",11:00 to 11:10,11:00 to 11:10,,,
Capital Inn,,Dover,DE,19901,,3/17/2020,,"M,T,W,Th,F",11:30 to 11:45,11:30 to 11:45,,,
Cannon Mills,,Dover,DE,19904,,3/18/2020,,"M,T,W,Th,F",10:15 to 10:25,10:15 to 10:25,,,
Calvary Baptist,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",11:15 to 11:25,11:15 to 11:25,,,
Spruance Road,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",11:25 to 11:35,11:25 to 11:35,,,
Lakeland Mobile Home Park,,Dover,DE,19901,,3/20/2020,,"M,T,W,Th,F",11:30 to 12:00,11:30 to 12:00,,,
Persimmon Creek,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",11:15 to 11:25,11:15 to 11:25,,,
Bay Tree,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",12:00 to 12:10,12:00 to 12:10,,,
Wood Crest,,Dover,DE,19904,,3/18/2020,,"M,T,W,Th,F",10:15 to 10:25,10:15 to 10:25,,,
Grandview Mobile Home Park,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",11:45 to 11:55,11:45 to 11:55,,,
Bicentennial,,Dover,DE,19904,,3/18/2020,,"M,T,W,Th,F",12:05 to 12:15,12:05 to 12:15,,,
Stoney Creek,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",10:00 to 10:10,10:00 to 10:10,,,
Village of Westover,,Dover,DE,19001,,3/18/2020,,"M,T,W,Th,F",10:30 to 10:40,10:30 to 10:40,,,
General Green,,Dover,DE,19901,,3/18/2020,,"M,T,W,Th,F",11:20 to 11:45,11:20 to 11:45,,,
