siteName,siteStatus,siteAddress,siteState,siteZip,contactPhone,startDate,endDate,daysofOperation,breakfastTime,lunchTime,snackTimeAM,snackTimePM,dinnerSupperTime,latitude,longitude
13th Ave N & River St. Intersection,,"13th Ave N & River St. Payette, ID 83661",ID,83661,2086424751,3/18/2020,3/30/2020,,,,,,,44.08765349999999,-116.945937
14th & Elgin Intersection,,"N 14th Ave & E Elgin St Caldwell, ID 83605",ID,83605,2084553331,3/18/2020,6/30/2020,,,,,,,43.6658465,-116.6759206
1500 E Near Jensen's,,"1950 S 1500 E Gooding, ID 83330",ID,83330,2089344321,3/18/2020,6/30/2020,,,,,,,42.9161273,-114.7901355
5th & Galveston Intersection,,"N 5th Ave & E Galveston St Caldwell, ID 83605",ID,83605,2084553331,3/18/2020,6/30/2020,,,,,,,43.6736112,-116.6836411
Aberdeen Elementary School,,"382 W Washington Ave Aberdeen, ID 83210",ID,83210,2083974115,3/30/2020,4/3/2020,,,,,,,42.9436375,-112.8437519
AH Bush Elementary,,"380 West Anderson St Idaho Falls, ID 83402",ID,83402,2085257532,3/18/2020,6/30/2020,,,,,,,43.5119345,-112.0370197
AJ Winters Elementary,,"535 Clay Street Montpelier, ID 83254",ID,83254,2084067771,3/17/2020,3/26/2020,,,,,,,42.3215942,-111.3026799
Alameda Park,,"Wayne Avenue and Pine Street Pocatello, ID   83201",ID  ,83201,2082353256,3/25/2020,5/30/2020,,,,,,,42.884183,-112.445282
Almon Bus Route,,"411 N Almon Moscow , ID 83843",ID,83843,2088921123,3/24/2020,4/3/2020,,,,,,,46.73713799999999,-117.004063
Almon Bus Route,,"619 N Almon Moscow , ID 83843",ID,83843,2088921123,3/24/2020,4/3/2020,,,,,,,46.7389492,-117.0054811
Almon Bus Route,,"900 N Almon Moscow , ID 83843",ID,83843,2088921123,3/24/2020,4/3/2020,,,,,,,46.7433847,-117.0045428
Almon Bus Route,,"West A and Baker St. Moscow , ID 83843",ID,83843,2088921123,3/24/2020,4/3/2020,,,,,,,46.73508289999999,-117.0200186
Alturas Elementary,,"1111 Alturas Elementary Lane Hailey , ID 83333",ID,83333,2085785000,3/18/2020,4/3/2020,,,,,,,43.4933102,-114.2757848
Arbor Crossing Apartments,,"5122 W. Stoker Ln Boise , ID  8.703",ID ,8.703,2088544067,3/23/2020,6/30/2020,,,,,,,43.6534696,-116.2522005
Ashton Elementary,,"168 S 1st Ashton, ID 83420",ID,83420,2086247542,3/23/2020,4/20/2020,,,,,,,44.0697921,-111.4551181
Athol Elementary,,"6333 E Menser Ave Athol, ID 83801",ID,83801,2086870431,3/18/2020,4/24/2020,,,,,,,47.944781,-116.699954
Atlas Elementary,,"3000 W. Honeysuckle Hayden, ID  83835",ID ,83835,2089290220,3/23/2020,6/30/2020,,,,,,,47.7511441,-116.827725
Avon Trailer Park,,"224 Summer St Caldwell, ID 83605",ID,83605,2084553331,3/18/2020,6/30/2020,,,,,,,43.6728175,-116.7004417
AW Johnson Elementary School,,"735 N 600 E Firth, ID 83236",ID,83236,2083466848,3/30/2020,4/9/2020,,,,,,,43.3022782,-112.1774832
Balmoral Apartments,,"851 Shenandoah Dr Hailey , ID 83333",ID,83333,2085785000,3/18/2020,4/3/2020,,,,,,,43.4982767,-114.285291
Bannock Peak,,"1707 E County Rd Pocatello, ID 83204",ID,83204,2082214830,3/30/2020,5/1/2020,,,,,,,42.8869299,-112.6357068
Battle Ridge Bus Route AM service and PM Service,,"348 Battle Ridge Road Kooskia, ID  83539",ID ,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.1027203,-115.9671526
Battle Ridge Bus Route AM service and PM Service,,"QUAIL LANE & BATTLE RIDGE RD Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.0623936,-115.9119936
Battle Ridge Bus Route AM service and PM Service,,"186 Tinker Lane Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.07337340000001,-115.9366287
Battle Ridge Bus Route AM service and PM Service,,"825 BATTLE RIDGE Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.07791839999999,-115.9322841
Battle Ridge Bus Route AM service and PM Service,,"739 BATTLE RIDGE ROAD Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.08145390000001,-115.944322
Battle Ridge Bus Route AM service and PM Service,,"744 BATTLE RIDGE ROAD Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.0866457,-115.9496567
Battle Ridge Bus Route AM service and PM Service,,"Intersection Stites Grade and State Street Stites, ID 83552",ID,83552,2089830990,3/19/2020,6/30/2020,,,,,,,46.0880435,-115.9742076
Battle Ridge Bus Route AM service and PM Service,,"Intersection East St. and Stites Grade Rd. Stites, ID 83552",ID,83552,2089830990,3/19/2020,6/30/2020,,,,,,,46.088045,-115.9749409
Battle Ridge Bus Route AM service and PM Service,,"4643 HWY 13 Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.1162605,-115.9779357
Battle Ridge Bus Route AM service and PM Service,,"416 Main St. Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.1352196,-115.9783117
Battle Ridge Bus Route AM service and PM Service,,"165 Hill Street Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.14119549999999,-115.9847503
Battle Ridge Bus Route AM service and PM Service,,"19 N Depot Street Kooskia, ID 83539",ID,83539,2089830990,3/19/2020,6/30/2020,,,,,,,46.1409777,-115.9834868
